,abilities,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,images,Pokemon ID,Description
18,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",28.33333333333333,3840,70,253,100.0,Mouse Pokémon,13.333333333333334,1000000,,11.41732283464567,Korattaコラッタ,019 Rattata,50.0,19,8.152173913043478,7.142857142857142,38.285714285714285,normal,dark,,1,0,images/19.png,19,"Rattata is a Normal type Pokémon introduced in Generation 1. Rattata has an Alolan Form, introduced in Pokémon Sun/Moon."
19,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",36.66666666666666,3840,70,413,49.2063492063492,Mouse Pokémon,28.88888888888889,1000000,,29.133858267716533,Rattaラッタ,020 Raticate,50.0,20,16.304347826086957,28.57142857142857,41.14285714285714,normal,dark,,1,0,images/20.png,20,"Raticate is a Normal type Pokémon introduced in Generation 1. Raticate has an Alolan Form, introduced in Pokémon Sun/Moon."
20,"['Keen Eye', 'Sniper']",30.55555555555556,3840,70,262,100.0,Tiny Bird Pokémon,11.11111111111111,1000000,0.3,15.354330708661418,Onisuzumeオニスズメ,021 Spearow,50.0,21,11.41304347826087,5.238095238095238,37.142857142857146,normal,flying,2.0,1,0,images/21.png,21,Spearow is a Normal/Flying type Pokémon introduced in Generation 1.
21,"['Keen Eye', 'Sniper']",47.22222222222222,3840,70,442,34.523809523809526,Beak Pokémon,26.666666666666668,1000000,1.2,25.196850393700785,Onidrillオニドリル,022 Fearow,50.0,22,27.717391304347828,19.52380952380953,54.285714285714285,normal,flying,38.0,1,0,images/22.png,22,Fearow is a Normal/Flying type Pokémon introduced in Generation 1.
22,"['Intimidate', 'Shed Skin', 'Unnerve']",30.55555555555556,5120,70,288,100.0,Snake Pokémon,17.333333333333336,1000000,2.0,13.385826771653544,Arboアーボ,023 Ekans,50.0,23,16.304347826086957,16.19047619047619,28.57142857142857,poison,,6.9,1,0,images/23.png,23,Ekans is a Poison type Pokémon introduced in Generation 1.
23,"['Intimidate', 'Shed Skin', 'Unnerve']",50.0,5120,70,448,34.523809523809526,Cobra Pokémon,28.444444444444443,1000000,3.5,23.228346456692915,Arbokアーボック,024 Arbok,50.0,24,29.89130434782609,28.09523809523809,42.85714285714285,poison,,65.0,1,0,images/24.png,24,Arbok is a Poison type Pokémon introduced in Generation 1.
24,"['Static', 'Lightningrod']",27.77777777777778,2560,70,320,74.20634920634922,Mouse Pokémon,15.555555555555555,1000000,0.4,13.385826771653544,Pikachuピカチュウ,025 Pikachu,50.0,25,21.73913043478261,14.285714285714285,48.57142857142857,electric,,6.0,1,0,images/25.png,25,"Pikachu is an Electric type Pokémon introduced in Generation 1. Pikachu has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Volt Crash."
25,"['Static', 'Lightningrod', 'Surge Surfer']",44.44444444444444,2560,70,485,28.57142857142857,Mouse Pokémon,20.0,1000000,,23.228346456692915,Raichuライチュウ,026 Raichu,50.0,26,46.19565217391305,30.952380952380956,60.0,electric,electric,,1,0,images/26.png,26,"Raichu is an Electric type Pokémon introduced in Generation 1. Raichu has an Alolan Form, introduced in Pokémon Sun/Moon."
26,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",38.88888888888889,5120,70,300,100.0,Mouse Pokémon,37.77777777777778,1000000,,19.291338582677163,Sandサンド,027 Sandshrew,50.0,27,0.0,7.142857142857142,20.0,ground,ice,,1,0,images/27.png,27,"Sandshrew is a Ground type Pokémon introduced in Generation 1. Sandshrew has an Alolan Form, introduced in Pokémon Sun/Moon."
27,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",52.77777777777778,5120,70,450,34.523809523809526,Mouse Pokémon,51.11111111111111,1000000,,29.133858267716533,Sandpanサンドパン,028 Sandslash,50.0,28,8.152173913043478,21.428571428571427,34.285714285714285,ground,ice,,1,0,images/28.png,28,"Sandslash is a Ground type Pokémon introduced in Generation 1. Sandslash has an Alolan Form, introduced in Pokémon Sun/Moon."
28,"['Poison Point', 'Rivalry', 'Hustle']",23.33333333333333,5120,70,275,92.06349206349206,Poison Pin Pokémon,20.88888888888889,1059860,0.4,21.25984251968504,Nidoran?ニドラン♀,029 Nidoran♀,0.0,29,16.304347826086957,9.523809523809524,20.57142857142857,poison,,7.0,1,0,images/29.png,29,Nidoran♀ is a Poison type Pokémon introduced in Generation 1.
29,"['Poison Point', 'Rivalry', 'Hustle']",31.666666666666664,5120,70,365,46.42857142857143,Poison Pin Pokémon,27.55555555555556,1059860,0.8,27.165354330708663,Nidorinaニドリーナ,030 Nidorina,0.0,30,24.456521739130437,16.666666666666664,29.142857142857142,poison,,20.0,1,0,images/30.png,30,Nidorina is a Poison type Pokémon introduced in Generation 1.
30,"['Poison Point', 'Rivalry', 'Sheer Force']",48.333333333333336,5120,70,505,16.666666666666664,Drill Pokémon,36.44444444444444,1059860,1.3,35.03937007874016,Nidoqueenニドクイン,031 Nidoqueen,0.0,31,35.32608695652174,30.952380952380956,40.57142857142857,poison,ground,60.0,1,0,images/31.png,31,Nidoqueen is a Poison/Ground type Pokémon introduced in Generation 1.
31,"['Poison Point', 'Rivalry', 'Hustle']",28.88888888888889,5120,70,273,92.06349206349206,Poison Pin Pokémon,15.555555555555555,1059860,0.5,17.716535433070867,Nidoran?ニドラン♂,032 Nidoran♂,100.0,32,16.304347826086957,9.523809523809524,25.71428571428571,poison,,9.0,1,0,images/32.png,32,Nidoran♂ is a Poison type Pokémon introduced in Generation 1.
32,"['Poison Point', 'Rivalry', 'Hustle']",37.22222222222222,5120,70,365,46.42857142857143,Poison Pin Pokémon,23.11111111111111,1059860,0.9,23.62204724409449,Nidorinoニドリーノ,033 Nidorino,100.0,33,24.456521739130437,16.666666666666664,34.285714285714285,poison,,19.5,1,0,images/33.png,33,Nidorino is a Poison type Pokémon introduced in Generation 1.
33,"['Poison Point', 'Rivalry', 'Sheer Force']",53.888888888888886,5120,70,505,16.666666666666664,Drill Pokémon,32.0,1059860,1.4,31.496062992125985,Nidokingニドキング,034 Nidoking,100.0,34,40.76086956521739,26.190476190476197,45.71428571428572,poison,ground,62.0,1,0,images/34.png,34,Nidoking is a Poison/Ground type Pokémon introduced in Generation 1.
34,"['Cute Charm', 'Magic Guard', 'Friend Guard']",22.22222222222222,2560,140,323,58.333333333333336,Fairy Pokémon,19.11111111111111,800000,0.6,27.165354330708663,Pippiピッピ,035 Clefairy,24.6,35,27.173913043478255,21.428571428571427,17.142857142857142,fairy,,7.5,1,0,images/35.png,35,Clefairy is a Fairy type Pokémon introduced in Generation 1.
35,"['Cute Charm', 'Magic Guard', 'Unaware']",36.11111111111111,2560,140,483,8.73015873015873,Fairy Pokémon,30.22222222222222,800000,1.3,37.00787401574803,Pixyピクシー,036 Clefable,24.6,36,46.19565217391305,33.33333333333333,31.428571428571427,fairy,,40.0,1,0,images/36.png,36,Clefable is a Fairy type Pokémon introduced in Generation 1.
36,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",20.0,5120,70,299,74.20634920634922,Fox Pokémon,15.555555555555555,1000000,,14.566929133858268,Rokonロコン,037 Vulpix,24.6,37,21.73913043478261,21.428571428571427,34.285714285714285,fire,ice,,1,0,images/37.png,37,"Vulpix is a Fire type Pokémon introduced in Generation 1. Vulpix has an Alolan Form, introduced in Pokémon Sun/Moon."
37,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",34.44444444444444,5120,70,505,28.57142857142857,Fox Pokémon,31.11111111111111,1000000,,28.346456692913385,Kyukonキュウコン,038 Ninetales,24.6,38,38.58695652173913,38.095238095238095,59.42857142857143,fire,ice,,1,0,images/38.png,38,"Ninetales is a Fire type Pokémon introduced in Generation 1. Ninetales has an Alolan Form, introduced in Pokémon Sun/Moon."
38,"['Cute Charm', 'Competitive', 'Friend Guard']",22.22222222222222,2560,70,270,66.26984126984127,Balloon Pokémon,6.666666666666667,800000,0.5,44.881889763779526,Purinプリン,039 Jigglypuff,24.6,39,19.021739130434785,2.380952380952381,8.571428571428571,normal,fairy,5.5,1,0,images/39.png,39,"Jigglypuff is a Normal/Fairy type Pokémon introduced in Generation 1. In Generation 9, a Paradox Pokémon Scream Tail was discovered, which bears a striking resemblance to Jigglypuff."
39,"['Cute Charm', 'Competitive', 'Frisk']",36.11111111111111,2560,70,435,18.650793650793652,Balloon Pokémon,17.77777777777778,800000,1.0,54.7244094488189,Pukurinプクリン,040 Wigglytuff,24.6,40,40.76086956521739,14.285714285714285,22.857142857142858,normal,fairy,12.0,1,0,images/40.png,40,Wigglytuff is a Normal/Fairy type Pokémon introduced in Generation 1.
40,"['Inner Focus', 'Infiltrator']",22.22222222222222,3840,70,245,100.0,Bat Pokémon,13.333333333333334,1000000,0.8,15.354330708661418,Zubatズバット,041 Zubat,50.0,41,10.869565217391305,9.523809523809524,28.57142857142857,poison,flying,7.5,1,0,images/41.png,41,Zubat is a Poison/Flying type Pokémon introduced in Generation 1.
41,"['Inner Focus', 'Infiltrator']",41.66666666666667,3840,70,455,34.523809523809526,Bat Pokémon,28.88888888888889,1000000,1.6,29.133858267716533,Golbatゴルバット,042 Golbat,50.0,42,29.89130434782609,26.190476190476197,48.57142857142857,poison,flying,55.0,1,0,images/42.png,42,Golbat is a Poison/Flying type Pokémon introduced in Generation 1.
42,"['Chlorophyll', 'Run Away']",25.0,5120,70,320,100.0,Weed Pokémon,22.22222222222222,1059860,0.5,17.322834645669293,Nazonokusaナゾノクサ,043 Oddish,50.0,43,35.32608695652174,21.428571428571427,14.285714285714285,grass,poison,5.4,1,0,images/43.png,43,Oddish is a Grass/Poison type Pokémon introduced in Generation 1.
43,"['Chlorophyll', 'Stench']",33.33333333333333,5120,70,395,46.42857142857143,Weed Pokémon,28.88888888888889,1059860,0.8,23.228346456692915,Kusaihanaクサイハナ,044 Gloom,50.0,44,40.76086956521739,26.190476190476197,20.0,grass,poison,8.6,1,0,images/44.png,44,Gloom is a Grass/Poison type Pokémon introduced in Generation 1.
44,"['Chlorophyll', 'Effect Spore']",41.66666666666667,5120,70,490,16.666666666666664,Flower Pokémon,35.55555555555556,1059860,1.2,29.133858267716533,Ruffresiaラフレシア,045 Vileplume,50.0,45,54.34782608695652,33.33333333333333,25.71428571428571,grass,poison,18.6,1,0,images/45.png,45,Vileplume is a Grass/Poison type Pokémon introduced in Generation 1.
45,"['Effect Spore', 'Dry Skin', 'Damp']",36.11111111111111,5120,70,285,74.20634920634922,Mushroom Pokémon,22.22222222222222,1000000,0.3,13.385826771653544,Parasパラス,046 Paras,50.0,46,19.021739130434785,16.666666666666664,11.428571428571429,bug,grass,5.4,1,0,images/46.png,46,Paras is a Bug/Grass type Pokémon introduced in Generation 1.
46,"['Effect Spore', 'Dry Skin', 'Damp']",50.0,5120,70,405,28.57142857142857,Mushroom Pokémon,33.33333333333333,1000000,1.0,23.228346456692915,Parasectパラセクト,047 Parasect,50.0,47,27.173913043478255,28.57142857142857,14.285714285714285,bug,grass,29.5,1,0,images/47.png,47,Parasect is a Bug/Grass type Pokémon introduced in Generation 1.
47,"['Compoundeyes', 'Tinted Lens', 'Run Away']",27.77777777777778,5120,70,305,74.20634920634922,Insect Pokémon,20.0,1000000,1.0,23.228346456692915,Kongpangコンパン,048 Venonat,50.0,48,16.304347826086957,16.666666666666664,22.857142857142858,bug,poison,30.0,1,0,images/48.png,48,Venonat is a Bug/Poison type Pokémon introduced in Generation 1.
48,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",33.33333333333333,5120,70,450,28.57142857142857,Poison Moth Pokémon,24.444444444444443,1000000,1.5,27.165354330708663,Morphonモルフォン,049 Venomoth,50.0,49,43.47826086956522,26.190476190476197,48.57142857142857,bug,poison,12.5,1,0,images/49.png,49,Venomoth is a Bug/Poison type Pokémon introduced in Generation 1.
49,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",27.77777777777778,5120,70,265,100.0,Mole Pokémon,11.11111111111111,1000000,,3.543307086614173,Digdaディグダ,050 Diglett,50.0,50,13.586956521739127,11.904761904761903,48.57142857142857,ground,ground,,1,0,images/50.png,50,"Diglett is a Ground type Pokémon introduced in Generation 1. Diglett has an Alolan Form, introduced in Pokémon Sun/Moon. In Scarlet/Violet a similar-looking Pokémon Wiglett was discovered, however it is a separate species to Diglett."
50,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",52.77777777777778,5120,70,425,18.650793650793652,Mole Pokémon,24.444444444444443,1000000,,13.385826771653544,Dugtrioダグトリオ,051 Dugtrio,50.0,51,21.73913043478261,23.809523809523807,60.0,ground,ground,,1,0,images/51.png,51,"Dugtrio is a Ground type Pokémon introduced in Generation 1. Dugtrio has an Alolan Form, introduced in Pokémon Sun/Moon. In Scarlet/Violet a similar-looking Pokémon Wugtrio was discovered, however it is a separate species to Dugtrio."
51,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",16.666666666666664,5120,70,290,100.0,Scratch Cat Pokémon,13.333333333333334,1000000,,15.354330708661418,Nyarthニャース,052 Meowth,50.0,52,21.73913043478261,9.523809523809524,48.57142857142857,normal,dark,,1,0,images/52.png,52,"Meowth is a Normal type Pokémon introduced in Generation 1. Meowth has an Alolan Form introduced in Pokémon Sun/Moon, and a Galarian Form introduced in Sword/Shield. The original Kantonian Meowth has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Gold Rush."
52,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",30.55555555555556,5120,70,440,34.523809523809526,Classy Cat Pokémon,24.444444444444443,1000000,,25.196850393700785,Persianペルシアン,053 Persian,50.0,53,35.32608695652174,21.428571428571427,62.85714285714285,normal,dark,,1,0,images/53.png,53,"Persian is a Normal type Pokémon introduced in Generation 1. Persian has an Alolan Form, introduced in Pokémon Sun/Moon."
53,"['Damp', 'Cloud Nine', 'Swift Swim']",26.111111111111114,5120,70,320,74.20634920634922,Duck Pokémon,19.11111111111111,1000000,0.8,19.291338582677163,Koduckコダック,054 Psyduck,50.0,54,29.89130434782609,14.285714285714285,28.57142857142857,water,,19.6,1,0,images/54.png,54,Psyduck is a Water type Pokémon introduced in Generation 1.
54,"['Damp', 'Cloud Nine', 'Swift Swim']",42.77777777777778,5120,70,500,28.57142857142857,Duck Pokémon,32.44444444444444,1000000,1.7,31.10236220472441,Golduckゴルダック,055 Golduck,50.0,55,46.19565217391305,28.57142857142857,45.71428571428572,water,,76.6,1,0,images/55.png,55,Golduck is a Water type Pokémon introduced in Generation 1.
55,"['Vital Spirit', 'Anger Point', 'Defiant']",41.66666666666667,5120,70,305,74.20634920634922,Pig Monkey Pokémon,13.333333333333334,1000000,0.5,15.354330708661418,Mankeyマンキー,056 Mankey,50.0,56,13.586956521739127,11.904761904761903,37.142857142857146,fighting,,28.0,1,0,images/56.png,56,Mankey is a Fighting type Pokémon introduced in Generation 1.
56,"['Vital Spirit', 'Anger Point', 'Defiant']",55.55555555555556,5120,70,455,28.57142857142857,Pig Monkey Pokémon,24.444444444444443,1000000,1.0,25.196850393700785,Okorizaruオコリザル,057 Primeape,50.0,57,27.173913043478255,23.809523809523807,51.42857142857142,fighting,,32.0,1,0,images/57.png,57,Primeape is a Fighting type Pokémon introduced in Generation 1.
57,"['Intimidate', 'Flash Fire', 'Justified']",36.11111111111111,5120,70,350,74.20634920634922,Puppy Pokémon,17.77777777777778,1250000,0.7,21.25984251968504,Gardieガーディ,058 Growlithe,75.4,58,32.608695652173914,14.285714285714285,31.428571428571427,fire,,19.0,1,0,images/58.png,58,"Growlithe is a Fire type Pokémon introduced in Generation 1. Growlithe has a Hisuian Form, introduced in Pokémon Legends: Arceus."
58,"['Intimidate', 'Flash Fire', 'Justified']",58.333333333333336,5120,70,555,28.57142857142857,Legendary Pokémon,33.33333333333333,1250000,1.9,35.03937007874016,Windieウインディ,059 Arcanine,75.4,59,48.91304347826087,28.57142857142857,51.42857142857142,fire,,155.0,1,0,images/59.png,59,"Arcanine is a Fire type Pokémon introduced in Generation 1. Arcanine has a Hisuian Form, introduced in Pokémon Legends: Arceus."
59,"['Water Absorb', 'Damp', 'Swift Swim']",25.0,5120,70,300,100.0,Tadpole Pokémon,15.555555555555555,1059860,0.6,15.354330708661418,Nyoromoニョロモ,060 Poliwag,50.0,60,16.304347826086957,9.523809523809524,48.57142857142857,water,,12.4,1,0,images/60.png,60,Poliwag is a Water type Pokémon introduced in Generation 1.
60,"['Water Absorb', 'Damp', 'Swift Swim']",33.33333333333333,5120,70,385,46.42857142857143,Tadpole Pokémon,26.666666666666668,1059860,1.0,25.196850393700785,Nyorozoニョロゾ,061 Poliwhirl,50.0,61,21.73913043478261,14.285714285714285,48.57142857142857,water,,20.0,1,0,images/61.png,61,Poliwhirl is a Water type Pokémon introduced in Generation 1.
61,"['Water Absorb', 'Damp', 'Swift Swim']",50.0,5120,70,510,16.666666666666664,Tadpole Pokémon,40.0,1059860,1.3,35.03937007874016,Nyorobonニョロボン,062 Poliwrath,50.0,62,32.608695652173914,33.33333333333333,37.142857142857146,water,fighting,54.0,1,0,images/62.png,62,Poliwrath is a Water/Fighting type Pokémon introduced in Generation 1.
62,"['Synchronize', 'Inner Focus', 'Magic Guard']",8.333333333333332,5120,70,310,78.17460317460318,Psi Pokémon,4.444444444444445,1059860,0.9,9.448818897637794,Caseyケーシィ,063 Abra,75.4,63,51.63043478260869,16.666666666666664,48.57142857142857,psychic,,19.5,1,0,images/63.png,63,Abra is a Psychic type Pokémon introduced in Generation 1.
63,"['Synchronize', 'Inner Focus', 'Magic Guard']",16.666666666666664,5120,70,400,38.492063492063494,Psi Pokémon,11.11111111111111,1059860,1.3,15.354330708661418,Yungererユンゲラー,064 Kadabra,75.4,64,59.78260869565217,23.809523809523807,57.14285714285714,psychic,,56.5,1,0,images/64.png,64,Kadabra is a Psychic type Pokémon introduced in Generation 1.
